epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.861216425895691,0.30792,1.8630667924880981,0.3082
2,1.750830054283142,0.3594,1.7471704483032227,0.3616
3,1.684880018234253,0.39244,1.6908568143844604,0.3908
4,1.6448792219161987,0.4016,1.6576998233795166,0.397
5,1.6378834247589111,0.41048,1.6590906381607056,0.406
6,1.5660351514816284,0.42936,1.600542426109314,0.4191
7,1.4972857236862183,0.45916,1.5431348085403442,0.4465
8,1.516924262046814,0.45052,1.5634900331497192,0.4416
9,1.4708176851272583,0.47794,1.5466867685317993,0.4578
10,1.4735924005508423,0.46296,1.551711916923523,0.4353
11,1.3955390453338623,0.49572,1.5044677257537842,0.4644
12,1.3917168378829956,0.5,1.5018723011016846,0.4666
13,1.3846040964126587,0.50104,1.5219091176986694,0.4592
14,1.3255304098129272,0.52028,1.4757126569747925,0.4822
15,1.3451807498931885,0.51328,1.5059669017791748,0.4675
16,1.3291312456130981,0.52112,1.500854730606079,0.4703
17,1.277544379234314,0.53886,1.4806793928146362,0.4752
18,1.2818633317947388,0.53386,1.503777265548706,0.4754
19,1.2923048734664917,0.53352,1.5374476909637451,0.464
20,1.210982322692871,0.56274,1.4762707948684692,0.4835
21,1.239412546157837,0.54894,1.5302374362945557,0.4677
22,1.2522187232971191,0.54994,1.5590494871139526,0.4681
23,1.1842602491378784,0.57214,1.5287202596664429,0.4765
24,1.2058380842208862,0.56478,1.5332952737808228,0.4717
25,1.1682168245315552,0.57478,1.5613449811935425,0.482
26,1.1372383832931519,0.58568,1.5722628831863403,0.4772
27,1.1263432502746582,0.59134,1.5671199560165405,0.4733
28,1.129908800125122,0.58928,1.6160210371017456,0.469
29,1.1020058393478394,0.59998,1.5907838344573975,0.4711
30,1.1034947633743286,0.59916,1.6334680318832397,0.4698
31,1.038500428199768,0.6195,1.6482720375061035,0.4768
32,1.0654581785202026,0.6115,1.6084306240081787,0.4753
33,1.035556674003601,0.62272,1.6651414632797241,0.4742
34,0.9988042712211609,0.6361,1.690718412399292,0.476
35,0.9886168241500854,0.63888,1.6609447002410889,0.4726
36,1.0233741998672485,0.62614,1.7274105548858643,0.4637
37,0.976997971534729,0.63886,1.7437376976013184,0.4765
38,0.9254430532455444,0.66296,1.787782073020935,0.4674
39,1.0426145792007446,0.6181,1.7813313007354736,0.4581
40,0.9464004635810852,0.6552,1.8514076471328735,0.4606
41,0.9472264051437378,0.65006,1.8270407915115356,0.4653
42,0.9745637774467468,0.64486,1.9513132572174072,0.4628
43,0.9085313081741333,0.6635,1.8707623481750488,0.4643
44,0.9355607628822327,0.65732,1.8484370708465576,0.4612
45,0.8837316632270813,0.67478,1.8810328245162964,0.4627
46,0.8813469409942627,0.67846,1.901111364364624,0.4576
47,0.847507655620575,0.6918,1.9784495830535889,0.465
48,0.8912636637687683,0.6734,1.9882313013076782,0.4647
49,0.8692495822906494,0.6811,1.9852839708328247,0.4566
50,0.8162925243377686,0.7014,1.9964416027069092,0.4583
