epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.8650780550223929,0.36764,1.7986875,0.3681
2,1.6976551503518873,0.42312,1.63825,0.4202
3,1.632249520153551,0.42868,1.5903125,0.4225
4,1.5878330134357006,0.43824,1.5903125,0.422
5,1.5639078694817659,0.45214,1.596375,0.4367
6,1.5366935380678182,0.44826,1.5098125,0.4321
7,1.5203346129238644,0.46694,1.5716875,0.4514
8,1.502233525271913,0.4728,1.481375,0.4459
9,1.4948829174664107,0.4874,1.483875,0.4644
10,1.475817658349328,0.48826,1.51325,0.4636
11,1.470397312859885,0.47448,1.5165625,0.4488
12,1.462591170825336,0.4883,1.5129375,0.4521
13,1.450109404990403,0.50224,1.4956875,0.4686
14,1.4422968650031989,0.50282,1.4615625,0.4681
15,1.4345060780550223,0.50596,1.4661875,0.4729
16,1.4275706973768394,0.5012,1.4966875,0.4698
17,1.4211433141394754,0.49396,1.4309375,0.4554
18,1.4139059500959692,0.4869,1.5119375,0.4502
19,1.4066468330134356,0.51002,1.484125,0.4686
20,1.401808701215611,0.50906,1.4249375,0.4683
21,1.4009385796545104,0.52302,1.43,0.4849
22,1.3947140115163148,0.51254,1.508,0.4768
23,1.3850294305822137,0.5003,1.4818125,0.4594
24,1.3866724248240563,0.52182,1.484,0.4824
25,1.3796839411388355,0.50744,1.3785625,0.4643
26,1.3743698016634676,0.52296,1.4750625,0.4746
27,1.3711996161228406,0.51438,1.5043125,0.472
28,1.3686174024312219,0.50148,1.4991875,0.4535
29,1.3637229686500318,0.52088,1.4359375,0.4747
30,1.3629635316698656,0.52364,1.3898125,0.4753
31,1.3575598208573256,0.51848,1.424375,0.47
32,1.3522181701855405,0.52692,1.463375,0.4795
33,1.3484491362763917,0.50036,1.504625,0.4548
34,1.3452495201535508,0.51916,1.44325,0.465
35,1.343447216890595,0.51746,1.444625,0.4646
36,1.3429942418426104,0.53464,1.4976875,0.4822
37,1.3379404990403072,0.51734,1.4385625,0.4667
38,1.3344817658349328,0.53144,1.4714375,0.4802
39,1.331069737683941,0.52522,1.5209375,0.4685
40,1.329065898912348,0.53854,1.4880625,0.4773
41,1.3265655790147153,0.52894,1.47175,0.4714
42,1.3244062699936021,0.54242,1.561,0.4833
43,1.3188905950095968,0.5309,1.5538125,0.4677
44,1.3178989123480487,0.52672,1.517875,0.471
45,1.3162258477287267,0.5413,1.565375,0.477
46,1.3157722328854768,0.5362,1.582375,0.4719
47,1.310473448496481,0.54558,1.5945,0.4822
48,1.3077907869481766,0.54786,1.65075,0.4849
49,1.308019833653231,0.52626,1.558875,0.4649
50,1.3022296865003198,0.54036,1.627,0.4799
