epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.8866749840051185,0.36376,1.7834375,0.3581
2,1.7397696737044148,0.4074,1.6653125,0.4029
3,1.6769814459373,0.40762,1.6876875,0.4018
4,1.6471298784388995,0.42434,1.6401875,0.4216
5,1.615919385796545,0.42552,1.6545625,0.4138
6,1.5998317338451695,0.43196,1.61475,0.4223
7,1.5901183621241204,0.44402,1.627625,0.4341
8,1.577093410108765,0.43754,1.6564375,0.4327
9,1.5670754958413307,0.4403,1.665375,0.4357
10,1.5604069097888678,0.44818,1.698125,0.4372
11,1.5507735124760076,0.4502,1.6276875,0.4287
12,1.5416154830454256,0.46798,1.6561875,0.4525
13,1.5381625079974408,0.45762,1.6611875,0.4417
14,1.5333941138835574,0.44246,1.6635625,0.4303
15,1.5248502879078694,0.46836,1.6869375,0.4444
16,1.5190978886756237,0.465,1.6846875,0.4442
17,1.5091452335252717,0.46198,1.685125,0.4509
18,1.506997440818938,0.461,1.7273125,0.4394
19,1.5017325655790148,0.46256,1.6335625,0.4465
20,1.5010377479206654,0.45696,1.7375625,0.4298
21,1.496345489443378,0.47588,1.71725,0.4555
22,1.493906589891235,0.4443,1.6978125,0.4213
23,1.4908669225847728,0.47808,1.698,0.4547
24,1.484628278950736,0.46686,1.703875,0.4437
25,1.481809980806142,0.47048,1.71975,0.4516
26,1.4777076135636598,0.483,1.6948125,0.4554
27,1.477690978886756,0.47078,1.7038125,0.4436
28,1.4717146513115802,0.48318,1.7181875,0.4549
29,1.470075495841331,0.47844,1.6776875,0.4551
30,1.4703915547024953,0.46608,1.687375,0.4388
31,1.46845937300064,0.47548,1.7148125,0.4422
32,1.4671618682021752,0.47088,1.683625,0.4325
33,1.4596378758797186,0.46296,1.6670625,0.435
34,1.4599993602047343,0.491,1.713625,0.4519
35,1.4539481765834934,0.4872,1.6781875,0.4534
36,1.4527095329494562,0.46332,1.71475,0.4231
37,1.4538330134357005,0.4817,1.72975,0.4491
38,1.4471381957773513,0.49454,1.7044375,0.4557
39,1.4460281509916826,0.49366,1.7069375,0.4575
40,1.4459123480486242,0.48524,1.6840625,0.4499
41,1.446015994881638,0.49436,1.69475,0.4564
42,1.4421625079974407,0.48992,1.708875,0.4575
43,1.441321817018554,0.48074,1.6555,0.4445
44,1.4364293026231607,0.50382,1.7145625,0.4642
45,1.4403499680102365,0.4776,1.6488125,0.4401
46,1.4319174664107486,0.4995,1.698125,0.4576
47,1.4320281509916828,0.50242,1.69125,0.4556
48,1.4299526551503519,0.48808,1.6998125,0.448
49,1.4325457453614843,0.48804,1.7170625,0.4535
50,1.4282546385156751,0.48696,1.7164375,0.4499
