epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.725527048110962,0.37612,1.726210355758667,0.38
2,1.6285037994384766,0.41252,1.6399140357971191,0.4057
3,1.5833693742752075,0.42594,1.6002451181411743,0.4166
4,1.5357447862625122,0.45722,1.5701812505722046,0.4454
5,1.521274209022522,0.45908,1.570571780204773,0.4398
6,1.4913522005081177,0.46782,1.5444340705871582,0.4496
7,1.4776040315628052,0.47298,1.5318869352340698,0.4517
8,1.4526890516281128,0.4831,1.5129244327545166,0.4659
9,1.4559359550476074,0.48372,1.5277193784713745,0.4618
10,1.422163963317871,0.49406,1.500092625617981,0.4653
11,1.4261866807937622,0.48946,1.5111093521118164,0.4631
12,1.4005036354064941,0.50364,1.502060055732727,0.4784
13,1.4217073917388916,0.48964,1.5221630334854126,0.4592
14,1.4080824851989746,0.50276,1.5168628692626953,0.4728
15,1.3837461471557617,0.5072,1.4915852546691895,0.4702
16,1.365020990371704,0.51432,1.4923163652420044,0.4749
17,1.3713608980178833,0.50862,1.5017648935317993,0.4688
18,1.3973697423934937,0.49938,1.5370057821273804,0.4543
19,1.3775017261505127,0.50718,1.5199588537216187,0.4655
20,1.3235881328582764,0.52628,1.4698373079299927,0.4811
21,1.3395299911499023,0.5191,1.4934959411621094,0.4754
22,1.304714322090149,0.53576,1.4626966714859009,0.4887
23,1.377196192741394,0.51834,1.5354560613632202,0.4738
24,1.3148791790008545,0.536,1.4833989143371582,0.4777
25,1.3316351175308228,0.52386,1.4994581937789917,0.4707
26,1.378035306930542,0.5074,1.5450772047042847,0.463
27,1.343186378479004,0.51156,1.525888442993164,0.4598
28,1.3357040882110596,0.52572,1.5125041007995605,0.4716
29,1.29314386844635,0.5387,1.4782832860946655,0.481
30,1.3046983480453491,0.53606,1.4904690980911255,0.4787
31,1.2560958862304688,0.55536,1.4627712965011597,0.4921
32,1.2891573905944824,0.53602,1.4979541301727295,0.4722
33,1.3173853158950806,0.52654,1.5361824035644531,0.4695
34,1.3469939231872559,0.52944,1.5642606019973755,0.4704
35,1.2875155210494995,0.54024,1.5091592073440552,0.4794
36,1.3207015991210938,0.5293,1.5391907691955566,0.466
37,1.2844182252883911,0.54084,1.515059471130371,0.4732
38,1.2738678455352783,0.54484,1.5068951845169067,0.4771
39,1.2530585527420044,0.55422,1.5000667572021484,0.489
40,1.2449967861175537,0.55474,1.4965218305587769,0.4821
41,1.2868837118148804,0.54094,1.5317343473434448,0.4752
42,1.3115200996398926,0.53574,1.5826318264007568,0.4731
43,1.2589627504348755,0.55058,1.5239168405532837,0.4835
44,1.2472783327102661,0.55344,1.5051337480545044,0.4806
45,1.204850673675537,0.57408,1.4769405126571655,0.4951
46,1.2243558168411255,0.5629,1.48652184009552,0.4836
47,1.2147136926651,0.56574,1.4928699731826782,0.4901
48,1.2216333150863647,0.5612,1.496314525604248,0.4796
49,1.232609510421753,0.56082,1.5121917724609375,0.4808
50,1.2014142274856567,0.57462,1.4884920120239258,0.4876
