epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.8507965451055663,0.3924,1.773625,0.388
2,1.6825188739603327,0.40272,1.636125,0.404
3,1.604939219449776,0.43306,1.634625,0.4228
4,1.5436666666666667,0.45604,1.6024375,0.4439
5,1.5017530390275111,0.47826,1.566875,0.4646
6,1.4689398592450416,0.48802,1.5084375,0.4729
7,1.4412271273192578,0.50278,1.5378125,0.4822
8,1.4237664747280872,0.50142,1.4880625,0.4705
9,1.4027082533589252,0.51266,1.4763125,0.4799
10,1.3844254638515674,0.51212,1.4385,0.4817
11,1.3658746001279591,0.5222,1.5970625,0.477
12,1.3474305822136916,0.51988,1.4944375,0.481
13,1.3339968010236722,0.52672,1.5433125,0.4809
14,1.3204452975047987,0.52326,1.5293125,0.4756
15,1.3047984644913628,0.5475,1.459625,0.4944
16,1.298336532309661,0.5484,1.4966875,0.4902
17,1.2819270633397313,0.53406,1.40725,0.478
18,1.2725329494561741,0.55878,1.4191875,0.4912
19,1.2558566858605247,0.56354,1.4353125,0.4899
20,1.2520895713371722,0.5585,1.5435,0.492
21,1.2371804222648752,0.57072,1.571375,0.4907
22,1.2304005118362125,0.56404,1.5141875,0.4913
23,1.2185361484325015,0.56858,1.4409375,0.483
24,1.2093326935380677,0.57112,1.4574375,0.4816
25,1.1974094689699295,0.57692,1.3759375,0.4819
26,1.1890006397952655,0.57206,1.391625,0.4873
27,1.181997440818938,0.5841,1.390125,0.4857
28,1.1771759436980165,0.5788,1.4065,0.4825
29,1.1630454254638516,0.6095,1.4479375,0.4984
30,1.1561426743442098,0.60322,1.4015625,0.4881
31,1.146658349328215,0.5903,1.5406875,0.4839
32,1.1447939859245042,0.5974,1.519125,0.4897
33,1.1325425463851568,0.61252,1.577375,0.4891
34,1.129078055022393,0.58676,1.474625,0.4808
35,1.1167984644913629,0.61476,1.6595,0.4886
36,1.1161196417146513,0.61928,1.60275,0.4874
37,1.1068342930262316,0.58912,1.561875,0.4763
38,1.100426103646833,0.60922,1.5206875,0.4882
39,1.0925483045425464,0.62086,1.5400625,0.4852
40,1.0852341650671784,0.61822,1.60275,0.4819
41,1.075277031349968,0.60526,1.5495625,0.4782
42,1.069632117722329,0.6252,1.6175625,0.494
43,1.0662418426103648,0.6353,1.6125625,0.4847
44,1.0619072296865002,0.63986,1.5405625,0.4858
45,1.0562699936020474,0.62386,1.65575,0.4748
46,1.0501932181701856,0.58732,1.6155625,0.4726
47,1.0455879718490082,0.63498,1.5371875,0.4828
48,1.0389603326935382,0.64882,1.56375,0.4786
49,1.0361522712731925,0.6438,1.717875,0.4849
50,1.0310172744721688,0.6466,1.63375,0.4827
