epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.902437448501587,0.2966,1.904532790184021,0.2961
2,1.7113122940063477,0.37666,1.7144023180007935,0.375
3,1.630933403968811,0.4074,1.6459052562713623,0.4082
4,1.5711116790771484,0.43368,1.5974658727645874,0.4268
5,1.5213534832000732,0.4511,1.5552470684051514,0.4446
6,1.5069421529769897,0.45762,1.5551247596740723,0.4462
7,1.4705009460449219,0.47496,1.5224223136901855,0.4673
8,1.406419038772583,0.49226,1.477294683456421,0.4754
9,1.4312584400177002,0.4852,1.5189878940582275,0.4626
10,1.3970062732696533,0.49634,1.4914742708206177,0.475
11,1.4018992185592651,0.49408,1.5116685628890991,0.4644
12,1.3741930723190308,0.5051,1.5069481134414673,0.467
13,1.3383561372756958,0.5182,1.4805076122283936,0.4792
14,1.330308437347412,0.51954,1.4703876972198486,0.4802
15,1.318515658378601,0.52536,1.4845263957977295,0.4783
16,1.315482497215271,0.52968,1.5021418333053589,0.4772
17,1.2759062051773071,0.54032,1.4672898054122925,0.4823
18,1.3015371561050415,0.5277,1.5142953395843506,0.469
19,1.2529091835021973,0.55012,1.4795337915420532,0.4847
20,1.228935718536377,0.55502,1.481932520866394,0.4886
21,1.2234727144241333,0.55922,1.4879858493804932,0.4822
22,1.2046382427215576,0.56588,1.4737648963928223,0.4816
23,1.1761187314987183,0.57312,1.492674708366394,0.4785
24,1.205941915512085,0.56164,1.4898045063018799,0.48
25,1.1563994884490967,0.5782,1.5012279748916626,0.4898
26,1.1487078666687012,0.584,1.5203132629394531,0.4849
27,1.1405951976776123,0.58838,1.510515570640564,0.4856
28,1.1299147605895996,0.58918,1.5430172681808472,0.4889
29,1.1179713010787964,0.59216,1.5467729568481445,0.4926
30,1.1110914945602417,0.60108,1.5214027166366577,0.4892
31,1.092718243598938,0.60386,1.573374629020691,0.4878
32,1.1036490201950073,0.59948,1.5790305137634277,0.4782
33,1.0833313465118408,0.60674,1.5712336301803589,0.48
34,1.0652406215667725,0.61326,1.6007581949234009,0.4838
35,1.0389072895050049,0.62444,1.5776156187057495,0.4831
36,1.0402510166168213,0.62242,1.605915904045105,0.4781
37,1.0236493349075317,0.6307,1.5802491903305054,0.4896
38,0.9925185441970825,0.63994,1.6098932027816772,0.4841
39,1.0302270650863647,0.62686,1.6351377964019775,0.4806
40,1.0019854307174683,0.6359,1.6174875497817993,0.4808
41,1.0369772911071777,0.62628,1.6970347166061401,0.4801
42,1.0091949701309204,0.6325,1.6248730421066284,0.4795
43,0.9557686448097229,0.65468,1.6409896612167358,0.4838
44,0.9770231246948242,0.64568,1.6487716436386108,0.478
45,1.0396093130111694,0.62162,1.6962798833847046,0.4716
46,0.9743817448616028,0.648,1.7176494598388672,0.4772
47,0.9247283339500427,0.6645,1.6957775354385376,0.4839
48,0.9642602205276489,0.65206,1.7463302612304688,0.4739
49,0.9832804799079895,0.64348,1.7378621101379395,0.4685
50,0.935052752494812,0.66014,1.7436310052871704,0.4796
