epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.687477946281433,0.38994,1.6899031400680542,0.3835
2,1.6018176078796387,0.41926,1.61631441116333,0.4114
3,1.5429643392562866,0.44576,1.5654929876327515,0.4426
4,1.4737435579299927,0.471,1.5182379484176636,0.4574
5,1.448384165763855,0.48394,1.5063457489013672,0.4619
6,1.4308212995529175,0.48416,1.4965020418167114,0.4659
7,1.3704326152801514,0.50876,1.4555507898330688,0.4818
8,1.3721954822540283,0.5089,1.4757795333862305,0.4744
9,1.3420969247817993,0.518,1.44819974899292,0.4866
10,1.33721923828125,0.51846,1.4597645998001099,0.4864
11,1.3120112419128418,0.53366,1.441208004951477,0.4946
12,1.272789478302002,0.54516,1.4225313663482666,0.5022
13,1.2512677907943726,0.5521,1.4327056407928467,0.4974
14,1.2711079120635986,0.5422,1.452424168586731,0.4844
15,1.2450891733169556,0.55446,1.442533254623413,0.4932
16,1.2307740449905396,0.55678,1.4574171304702759,0.4882
17,1.243003487586975,0.55236,1.479533314704895,0.4914
18,1.2036038637161255,0.56828,1.4412667751312256,0.5037
19,1.1884732246398926,0.57704,1.4571726322174072,0.4997
20,1.1838915348052979,0.57714,1.443831205368042,0.5065
21,1.2007081508636475,0.57002,1.4957228899002075,0.4903
22,1.1911462545394897,0.57036,1.482985019683838,0.4923
23,1.1480741500854492,0.5885,1.4747247695922852,0.5016
24,1.1286611557006836,0.59444,1.4571772813796997,0.5076
25,1.0994843244552612,0.60622,1.453295350074768,0.5076
26,1.119152545928955,0.5983,1.4815467596054077,0.5024
27,1.1245611906051636,0.59476,1.4913910627365112,0.4935
28,1.1441502571105957,0.58476,1.5015298128128052,0.4892
29,1.0910520553588867,0.60764,1.4929618835449219,0.4997
30,1.0696816444396973,0.6167,1.4951324462890625,0.5067
31,1.0974870920181274,0.60462,1.5556621551513672,0.492
32,1.1381607055664062,0.58526,1.5287898778915405,0.4915
33,1.1180068254470825,0.59432,1.5895119905471802,0.4828
34,1.0748409032821655,0.61268,1.579683780670166,0.4971
35,1.0559550523757935,0.61772,1.5597118139266968,0.4961
36,1.094880223274231,0.60232,1.553518295288086,0.4921
37,1.0894267559051514,0.60648,1.5452790260314941,0.4957
38,1.0672597885131836,0.61186,1.5883357524871826,0.4974
39,1.104102373123169,0.59888,1.6233772039413452,0.4726
40,1.111668348312378,0.59714,1.6400728225708008,0.4812
41,1.0247126817703247,0.63288,1.6322872638702393,0.4981
42,1.0558398962020874,0.62016,1.6151732206344604,0.4905
43,1.065677285194397,0.61678,1.631683588027954,0.4918
44,0.9967681765556335,0.64314,1.5768650770187378,0.497
45,1.0499502420425415,0.6196,1.6242526769638062,0.4904
46,1.033674716949463,0.62626,1.6538358926773071,0.4948
47,1.0187360048294067,0.63278,1.6398953199386597,0.4916
48,0.9988799095153809,0.64188,1.7122433185577393,0.4942
49,1.032583475112915,0.6258,1.6903914213180542,0.4837
50,1.0141667127609253,0.634,1.675419569015503,0.4934
