epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.7191956043243408,0.37892,1.7154513597488403,0.3782
2,1.6638301610946655,0.40616,1.669114589691162,0.4083
3,1.5831102132797241,0.42564,1.6004235744476318,0.4178
4,1.507331371307373,0.4597,1.5331510305404663,0.4478
5,1.4752460718154907,0.4699,1.5078165531158447,0.4632
6,1.4913139343261719,0.466,1.5299441814422607,0.4556
7,1.4223030805587769,0.4883,1.4767082929611206,0.4702
8,1.4086095094680786,0.4967,1.4732173681259155,0.4737
9,1.384801983833313,0.50516,1.462040901184082,0.478
10,1.3717916011810303,0.51012,1.4616539478302002,0.4774
11,1.345557451248169,0.51922,1.4434235095977783,0.4803
12,1.3559197187423706,0.51776,1.4523208141326904,0.4856
13,1.329466462135315,0.52212,1.4452793598175049,0.4848
14,1.3445476293563843,0.51478,1.4661003351211548,0.4737
15,1.2998547554016113,0.5354,1.421491265296936,0.4953
16,1.3088303804397583,0.53018,1.4436653852462769,0.4891
17,1.2909259796142578,0.53958,1.4369421005249023,0.4958
18,1.286059021949768,0.53588,1.4396424293518066,0.4865
19,1.2550474405288696,0.54714,1.4204920530319214,0.4994
20,1.2536343336105347,0.54972,1.423916220664978,0.4983
21,1.2380485534667969,0.5542,1.4213454723358154,0.5004
22,1.2651292085647583,0.54596,1.452499270439148,0.4841
23,1.243836522102356,0.55378,1.4240134954452515,0.4982
24,1.2202544212341309,0.55856,1.428350567817688,0.4952
25,1.239737629890442,0.5553,1.453047513961792,0.4973
26,1.2037463188171387,0.56638,1.4372566938400269,0.5023
27,1.2630655765533447,0.54432,1.4544851779937744,0.4916
28,1.198052167892456,0.5709,1.4352364540100098,0.5084
29,1.239475131034851,0.55724,1.4627667665481567,0.4966
30,1.2099981307983398,0.5641,1.4541255235671997,0.4914
31,1.169384241104126,0.57822,1.4211487770080566,0.5028
32,1.2001234292984009,0.56524,1.4439218044281006,0.492
33,1.1905968189239502,0.5741,1.4634138345718384,0.4927
34,1.1740304231643677,0.57786,1.440225601196289,0.5057
35,1.1432408094406128,0.5884,1.4342405796051025,0.5046
36,1.1743069887161255,0.57676,1.4361916780471802,0.5078
37,1.2259082794189453,0.56002,1.476836085319519,0.493
38,1.1805154085159302,0.57544,1.4673644304275513,0.4967
39,1.1847081184387207,0.57362,1.477323293685913,0.4949
40,1.140612244606018,0.59264,1.4497172832489014,0.5044
41,1.129707932472229,0.5944,1.4359517097473145,0.5102
42,1.1381733417510986,0.59022,1.4635063409805298,0.4977
43,1.1377110481262207,0.59096,1.4583675861358643,0.4971
44,1.1261307001113892,0.59394,1.4702640771865845,0.5034
45,1.1123886108398438,0.6006,1.4632718563079834,0.5008
46,1.130670189857483,0.59328,1.4591460227966309,0.4975
47,1.1560176610946655,0.58374,1.480940818786621,0.4931
48,1.1013145446777344,0.6022,1.4614720344543457,0.5003
49,1.0983976125717163,0.6056,1.46610426902771,0.5028
50,1.1278629302978516,0.59104,1.4648163318634033,0.5039
