epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,2.146303262955854,0.1847,2.00475,0.1816
2,2.120360204734485,0.17692,2.0033125,0.1752
3,2.114291746641075,0.18584,1.98775,0.1767
4,2.0896928982725527,0.18868,1.9261875,0.1899
5,2.115589891234805,0.18958,1.9588125,0.185
6,2.094259756877799,0.19328,1.954125,0.1901
7,2.0829878438899554,0.19074,1.946125,0.1908
8,2.099674984005118,0.18452,1.9774375,0.1831
9,2.0933698016634676,0.18682,1.938,0.1868
10,2.0720140754958414,0.196,1.9571875,0.1956
11,2.057688419705694,0.19218,1.9275,0.1891
12,2.0666167626359564,0.19396,1.9361875,0.1972
13,2.0541068458093408,0.1922,1.922875,0.1953
14,2.0573698016634676,0.1835,1.9414375,0.1794
15,2.0587338451695456,0.20066,1.911625,0.2019
16,2.043582213691619,0.19316,1.91325,0.1911
17,2.0443186180422264,0.20572,1.8916875,0.2044
18,2.028854126679463,0.20738,1.806625,0.2065
19,2.043130518234165,0.20902,1.8258125,0.2083
20,2.035918106206014,0.20822,1.87575,0.2079
21,2.035966730646193,0.18882,1.8449375,0.1887
22,2.0333793985924506,0.19782,1.827125,0.1946
23,2.049793985924504,0.2038,1.847625,0.2011
24,2.0340390275111964,0.20802,1.8546875,0.2027
25,2.033265515035189,0.20552,1.857625,0.2111
26,2.0424005118362123,0.20128,1.8383125,0.1982
27,2.0289238643634038,0.19812,1.7421875,0.1937
28,2.117209213051823,0.19922,1.838375,0.1958
29,2.0626839411388356,0.20138,1.8489375,0.2013
30,2.042575175943698,0.2089,1.835375,0.2074
31,2.027326935380678,0.21076,1.7950625,0.2085
32,2.042474728087012,0.21074,1.7990625,0.2068
33,2.0495982085732565,0.20598,1.832875,0.2048
34,2.0401759436980167,0.21458,1.8231875,0.2098
35,2.036870761356366,0.21388,1.774125,0.202
36,2.0368579654510555,0.19178,1.830375,0.195
37,2.0197594369801664,0.20266,1.80225,0.2051
38,2.0345412667946254,0.2103,1.793875,0.2061
39,2.0287773512476006,0.20704,1.7815,0.2075
40,2.014485604606526,0.20488,1.8114375,0.2022
41,2.010554062699936,0.20034,1.78,0.2001
42,2.008680742162508,0.20892,1.810625,0.2073
43,2.01773896353167,0.21472,1.7938125,0.2079
44,2.0202399232245685,0.20562,1.830875,0.2015
45,2.0176276391554704,0.20734,1.7989375,0.2054
46,2.037579654510557,0.20258,1.842375,0.2003
47,2.0140428662827894,0.20184,1.818875,0.2067
48,2.0121356365962892,0.20932,1.8270625,0.2127
49,2.01257773512476,0.21214,1.8216875,0.2105
50,2.0246378758797183,0.21484,1.8253125,0.2171
