epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.311593730006398,0.61894,1.315875,0.6018
2,0.9900262316058862,0.69926,1.0704375,0.6685
3,0.8573800383877159,0.74268,1.063125,0.7008
4,0.7727344849648113,0.76396,1.088125,0.7094
5,0.7039526551503519,0.79208,0.9416875,0.7187
6,0.6464926423544466,0.80718,0.9065625,0.7198
7,0.5950921305182342,0.82308,0.9534375,0.7196
8,0.5509475367882277,0.83542,1.0658125,0.7225
9,0.5093141394753679,0.8281,1.066,0.7175
10,0.4713032629558542,0.85244,1.1876875,0.7125
11,0.436106845809341,0.86702,1.1353125,0.7203
12,0.3996090850927703,0.88662,1.0335625,0.7222
13,0.36957965451055663,0.88424,1.10075,0.7124
14,0.3383666026871401,0.91274,1.1270625,0.724
15,0.31147920665387074,0.91456,1.1955625,0.7194
16,0.28805630198336535,0.9278,1.17775,0.722
17,0.2721196417146513,0.92904,1.452625,0.7159
18,0.24687651951375558,0.93616,1.533125,0.7119
19,0.23345361484325014,0.93154,1.5729375,0.7099
20,0.21052975047984646,0.93344,1.6939375,0.7089
21,0.19583749200255918,0.93876,1.91425,0.7101
22,0.1919449776071657,0.9516,1.6774375,0.7099
23,0.1743064619321817,0.94842,1.8780625,0.7064
24,0.16550415866922585,0.94842,2.0381875,0.7047
25,0.15282661548304544,0.95312,1.9775,0.702
26,0.14909213051823417,0.94666,1.955875,0.7053
27,0.13749520153550865,0.96328,1.95075,0.71
28,0.12947152911068457,0.95986,2.0663125,0.7049
29,0.12556429942418426,0.96166,2.2841875,0.7044
30,0.12376263595649392,0.96342,2.5703125,0.7
31,0.11443570057581574,0.96372,2.13025,0.7002
32,0.11447472808701216,0.96966,2.4188125,0.7019
33,0.1082424824056302,0.97076,2.708125,0.7052
34,0.10272936660268714,0.96832,2.288,0.697
35,0.10333909149072297,0.97178,2.47125,0.6993
36,0.10234293026231606,0.96168,2.6385625,0.6984
37,0.09726935380678184,0.97646,2.2913125,0.7004
38,0.08852847088931542,0.97898,2.9966875,0.7006
39,0.08826231605886117,0.96748,3.258875,0.6967
40,0.09534996801023674,0.97236,3.1901875,0.7031
41,0.08089187460012796,0.97672,2.914625,0.6992
42,0.0879149072296865,0.97558,2.7851875,0.6966
43,0.07544017914267434,0.97596,3.135,0.6953
44,0.08056365962891875,0.97196,2.9323125,0.7022
45,0.07837747920665387,0.97122,3.40475,0.6982
46,0.0774721689059501,0.97828,3.797625,0.6965
47,0.07425207933461292,0.97356,4.23425,0.6991
48,0.07452847088931541,0.97046,4.15275,0.6944
49,0.0695233525271913,0.97746,3.9360625,0.6962
50,0.07122008957133717,0.98044,4.1345625,0.6984
