epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.9390371081253999,0.32048,1.8326875,0.3273
2,1.7882821497120922,0.38482,1.6470625,0.382
3,1.721767754318618,0.3884,1.5853125,0.3777
4,1.6651797824696097,0.412,1.6299375,0.399
5,1.6380812539987204,0.43066,1.7704375,0.4154
6,1.6087741522712733,0.4507,1.7420625,0.42
7,1.582893154190659,0.45546,1.706375,0.4324
8,1.563895713371721,0.4554,1.71075,0.4258
9,1.5494248240563022,0.47182,1.65125,0.4428
10,1.5364875239923226,0.48076,1.6910625,0.4475
11,1.5279897632757518,0.47248,1.617375,0.4375
12,1.5159686500319896,0.4808,1.6135625,0.4449
13,1.4967779910428662,0.48466,1.64775,0.4488
14,1.493676903390915,0.49218,1.596375,0.4512
15,1.493,0.4902,1.5991875,0.4466
16,1.477429942418426,0.49692,1.5185,0.461
17,1.4832591170825336,0.49554,1.5471875,0.4504
18,1.4756174024312219,0.49794,1.4844375,0.4493
19,1.462783749200256,0.50206,1.7014375,0.4542
20,1.4663371721049265,0.50664,1.772625,0.4537
21,1.4435137555982085,0.50372,1.72625,0.4482
22,1.4488989123480485,0.508,1.6995,0.4553
23,1.4456865003198978,0.49642,1.6725625,0.4432
24,1.4542840690978887,0.51312,1.6286875,0.4528
25,1.4457882277671144,0.50846,1.473625,0.4526
26,1.438378758797185,0.50956,1.513125,0.4548
27,1.4473448496481125,0.51228,1.64525,0.4617
28,1.4291804222648754,0.51534,1.603625,0.4557
29,1.4389584133077415,0.51068,1.5055,0.45
30,1.4393378119001918,0.51156,1.7035625,0.4494
31,1.4333429302623162,0.51558,1.61525,0.4539
32,1.434848368522073,0.50908,1.55625,0.4508
33,1.442170185540627,0.52182,1.7015625,0.4616
34,1.4520793346129237,0.5038,1.6610625,0.4492
35,1.4462380038387714,0.51634,1.68375,0.4526
36,1.446116442738324,0.51316,1.699,0.4495
37,1.4515598208573257,0.50724,1.5564375,0.448
38,1.4489411388355726,0.51264,1.68325,0.4571
39,1.4418426103646833,0.5185,1.684625,0.4565
40,1.4404696097248881,0.51388,1.688125,0.4479
41,1.4382207293666025,0.50622,1.6809375,0.4458
42,1.4359449776071658,0.52202,1.5665625,0.459
43,1.4395790147152911,0.5139,1.66175,0.4513
44,1.4536020473448497,0.49384,1.7434375,0.4362
45,1.4373493282149714,0.49756,1.68675,0.44
46,1.4616314779270634,0.516,1.7681875,0.4571
47,1.4547786308381319,0.50596,1.8245,0.4411
48,1.4651151631477926,0.509,1.6811875,0.4488
49,1.4431247600767754,0.5116,1.749625,0.4523
50,1.4638963531669866,0.49944,1.751375,0.442
