epochs,loss
0,0.4924675226211548
10,0.42721498012542725
20,0.3671557605266571
30,0.30522677302360535
40,0.24102266132831573
50,0.1803828477859497
60,0.13335077464580536
70,0.10685668885707855
80,0.0965065062046051
90,0.09108583629131317
100,0.08584639430046082
110,0.08185011893510818
120,0.07868978381156921
130,0.07578656822443008
140,0.07321285456418991
150,0.07081954926252365
160,0.0685482919216156
170,0.06633937358856201
180,0.06415893882513046
190,0.06197980418801308
200,0.05977977439761162
210,0.057540521025657654
220,0.05524617061018944
230,0.05288051441311836
240,0.05042789503931999
250,0.04787586256861687
260,0.04521677643060684
270,0.04244859516620636
280,0.03957736864686012
290,0.03661993891000748
300,0.03360528126358986
310,0.030573921278119087
320,0.027574939653277397
330,0.024661041796207428
340,0.021883120760321617
350,0.019285276532173157
360,0.016901452094316483
370,0.014753575436770916
380,0.012851028703153133
390,0.011191214434802532
400,0.009761195629835129
410,0.008563104085624218
420,0.0076162004843354225
430,0.006693336181342602
440,0.005967040080577135
450,0.005326610989868641
460,0.004780719988048077
470,0.004300697240978479
480,0.0038734478875994682
490,0.0034900372847914696
500,0.0031438118312507868
510,0.0028295808006078005
520,0.0025435863062739372
530,0.002282877219840884
540,0.002045218599960208
550,0.0018323120893910527
560,0.0017658419674262404
570,0.001470776041969657
580,0.001320784562267363
590,0.0011851579183712602
600,0.0010625568684190512
606,0.0009931169915944338
